username,useraddress,rating,review_date,review_text
Monica D.,"Hackensack, NJ",4 star rating,"Oct 25, 2023","My friend and I were trying to go for the better part of two years end I finally made it there. We could not get a reservation so we got there about a half hour before it opened on a Sunday and they gave us a table with no issue.Of course the top thing there is the tie-dyed pie but I also wanted to try the honey pie and I'm so happy I did because it turned out to be my favorite thing. We shared arugula salad, meatballs, pizza and baked clams. Service was attentive and polite. A must visit."
Avery D.,"Manhattan, NY",4 star rating,"Oct 23, 2023","Had a really good meal here! Came with friends and we split a Caesar salad, vodka pasta, and tie dye pizza. The pizza was very good! Thin crust, nice flavors. The pasta was good as well. Not the strongest vodka flavor I've ever had, but I liked that. And the Caesar was good too. Classic caesar salad.They brought bread for the table which was sooo fluffy and delicious.It's a bit of a noisy atmosphere but great vibes inside."
Isabella T.,"New York, NY",4 star rating,"Oct 21, 2023","Came back to Rubirosa with my parents for lunch on a Friday at 1:15pm. Even for lunch time, I suggest you try to get a reservation since this place is incredibly busy for a weekday lunch and all tables were full. We were seated promptly in the very back section of the restaurant (which I did not even know existed?) that is tucked away and a little bit more quiet than the entrance, which I appreciated. Service this time left me a little bit unimpressed which is why I'm giving it 4 stars. Our server felt a little dry and curt, less patient that prior times I've been here, and also forgot one of the items we ordered. Not sure if it's because we were in the very back but it made us feel like the service was less attentive than before. We split a few items on the menu which were delicious and made the trip worth it: Tie-Dye Pizza: now I understand why this is one of their most popular items. Even though I'm a pretty traditional gal with pizza, this pie was dreamy. First of all, the aesthetics are unmatched: the pizza is vibrantly colored at its base and then gets a perfect swirl of pesto right in front of you at the table. It also has an insanely thin crust that just looked perfectly crispy and elegant. The flavors were also really balanced. I loved the combination of having both tomato and vodka sauce since there was a nice sweet and tangy/more acidic contrast that was very nicely tied together by the creamy and salty mozzarella. The pesto was super subtle and was the perfect complement without being overpowering. The crust was sooo crispy and the slices were so thin! It was delicious... I will definitely be ordering this whenever I come back in the future. Lumanche Alla Vodka: my stepdad loves vodka pasta so we had to order this dish. Both my parents were blown away by this dish and really loved the sauce. I personally thought it was good but not any better than at other places in Little Italy. The pasta was not as Al dente as I would have liked and I felt like the sauce lacked some punch. However my family was very happy which is what mattered to me more since this is the dish they were most excited to have. They both said they liked this better than the pizza (possible pasta bias here). Tiramisu: their desserts have never disappointed and this was the best one I've tried on their menu so far! The slice of tiramisu is generous, the mascarpone blend is mildly sweet but not overpowering, perfectly creamy, and it's sandwiched between perfectly moist lady fingers that were not soggy at all. The flavor of the coffee was perfect! Loved this dessert and would order again in a heartbeat.Overall, I had a good experience here! The food was still fantastic and if you are able to get a reservation the week before, I think it's well worth it. Prices are steeper than other places you can find in the city but the ingredients they use are very high quality and the ambiance is very nice-- it's also just a NYC classic that everyone should try at least once. Service was a little disappointing this time around but I've had good experiences before so it could have been just a random blip. I will definitely be coming back in the future for more delicious pizza!"
Lily M.,"New York, NY",5 star rating,"Oct 17, 2023","We did not have a reservation but wanted to check Rubirosa out because we had heard great things. We arrived around 6:45 on a Sunday night and were told the wait for two was 2.5 hours. We decided to check out other bars in the area while we were waiting,and our wait only ended up being 1 hour! We got an arugula salad to start. It was very dark so hard to take pictures without either the flash or them turning up blurry. For pizza you can do split halves, so one side we did the tie dye which has a pesto drizzle. That was one was delicious, it's a great staple that I would encourage everyone to try! For the other half we got the san gennaro which had sausage. It was on the back of the menu and seemed like a special or limited time so we weee glad we could get it in the half potion. Service was very quick and the food came out fast. There is only one bathroom in the whole restaurant so that can take a while if there was a line. Rubirosa is definitely the place to go and if you can't get a reservation try your luck with a walk in!"
Ryan P.,"New York, NY",5 star rating,"Oct 16, 2023","We came in with a group of 8 on a Friday night with no reservation. Not exactly the easiest scenario to get a table at a restaurant on nearly every list of top spots in NYC, but alas we were seated about an hour after putting our name down!That's the move here. Come early, put your name down, and grab a drink at one of the many great bars nearby. Once seated, buckle in for a wonderful experience. Ask your waiter for their favorite pizza variation. They all have their own perspectives and it's great to get an experts thoughts.We got the tye die pie which did not disappoint, but what I was most impressed by were the pastas. No one talks about how great they are here -- get them!"
Celine C.,"Los Angeles, CA",3 star rating,"Oct 10, 2023","Rubirosa has great reviews everywhere and it was so difficult to book a table during weekends that we decided to eat here on a random weekday. The restaurant is super crowded and loud. Service was great. The staff was efficient and the guy working the bar was extremely friendly. He let me sample the alcoholic slushie before I ordered it. Thank god because it was not very good lol.As for food, I thought they were just okay. My expectations were probably too high for what reality has to offer.- Half tie dye and half Bianca (3/5): Meh, super underwhelming and bland. Tie dye pizza was oily from the pesto sauce. Bianca was dry and flavorless even with the cheese and bits of garlic. Just seemed like overall seasoning was missing.- Mushroom Campanelle (4/5): Pretty delicious pasta dish with lots of mushroom, sofrito, and garlic cream. Individual portion was a bit small."
Summer O.,"Salt Lake City, UT",5 star rating,"Oct 17, 2023","Make sure you have a reservation, or stop-in to get your name on the list and check out Little Italy and/or the local church. We ordered the house red wine (which is their own label), a salad to share as a starter, meatballs and calamari as a first course, and a Rubirosa Surprene pizza as a second course. We enjoyed everything. People choose Rubirosa because of their name and legacy in NYC pizza. They did not disappoint. The restaurant is very narrow, but long. The tables are packed in. It's everything I think of when I think NY Italian restaurant. I think family, togetherness, closeness. It was hopping, and I liked it like that."
Nicole K.,"Bellerose, NY",4 star rating,"Oct 17, 2023","Rubirosa is a fantastic, classic NY establishment. The inside is small- a reservation is required. The reservation window opens on resy a week before. Once inside the ambiance is cozy and intimate. The menu includes appetizers, salads, pasta dishes and pizza. There's a nice drink menu too.We had the arugula salad which was nicely dressed and flavorful. Homemade mozzarella sticks are a great treat. They are fried to perfection. For our main lunch we had the infamous Tie Dye pie. A delicious vodka sauced based pie with a swirl of pesto! Definitely make your way here when in the area."
Darian B.,"New York, NY",5 star rating,"Oct 11, 2023","LOVED this restaurant! Went for drinks and apps and left with a whole pie to take home. It was busy, but we got lucky walking in to get a table without a wait.We ordered a few things to share, but the mushroom pasta takes the cake - it was recommended by our serve (Alicia) and she nailed it! It was different and amazing and I would definitely order it again.Alicia was such a great serve - I would request to have her if/when I go back. The pizza takeout was delish and heated up perfectly in the oven. SO good! We got a dessert platter to share - the small is massive! She tried to warn us, and while it was huge it was also delish. I am not a cannoli girl and these were GREAT."
Kelley S.,"San Francisco, CA",4 star rating,"Oct 2, 2023","I really liked this place! I saw some of their pizzas on Instagram and had to try. I really liked the vibe of the restaurant, we sat outdoors and we happened to be there when there was this festival so it was really cool to see all that around while we were eating. Their selection of pizzas and pastas are diverse but not overwhelming. The shrimp papparadelle we got was really good. And the half honey pig half tie dye pizza was really good. The hot honey on the honey pig worked so well with the saltiness of the meat. I would definitely come back, the only thing was the lack of service, but also with the hectic street fair and it being a weekend I understand the lack of service."
Monica D.,"Hackensack, NJ",4 star rating,"Oct 25, 2023","My friend and I were trying to go for the better part of two years end I finally made it there. We could not get a reservation so we got there about a half hour before it opened on a Sunday and they gave us a table with no issue.Of course the top thing there is the tie-dyed pie but I also wanted to try the honey pie and I'm so happy I did because it turned out to be my favorite thing. We shared arugula salad, meatballs, pizza and baked clams. Service was attentive and polite. A must visit."
Avery D.,"Manhattan, NY",4 star rating,"Oct 23, 2023","Had a really good meal here! Came with friends and we split a Caesar salad, vodka pasta, and tie dye pizza. The pizza was very good! Thin crust, nice flavors. The pasta was good as well. Not the strongest vodka flavor I've ever had, but I liked that. And the Caesar was good too. Classic caesar salad.They brought bread for the table which was sooo fluffy and delicious.It's a bit of a noisy atmosphere but great vibes inside."
Isabella T.,"New York, NY",4 star rating,"Oct 21, 2023","Came back to Rubirosa with my parents for lunch on a Friday at 1:15pm. Even for lunch time, I suggest you try to get a reservation since this place is incredibly busy for a weekday lunch and all tables were full. We were seated promptly in the very back section of the restaurant (which I did not even know existed?) that is tucked away and a little bit more quiet than the entrance, which I appreciated. Service this time left me a little bit unimpressed which is why I'm giving it 4 stars. Our server felt a little dry and curt, less patient that prior times I've been here, and also forgot one of the items we ordered. Not sure if it's because we were in the very back but it made us feel like the service was less attentive than before. We split a few items on the menu which were delicious and made the trip worth it: Tie-Dye Pizza: now I understand why this is one of their most popular items. Even though I'm a pretty traditional gal with pizza, this pie was dreamy. First of all, the aesthetics are unmatched: the pizza is vibrantly colored at its base and then gets a perfect swirl of pesto right in front of you at the table. It also has an insanely thin crust that just looked perfectly crispy and elegant. The flavors were also really balanced. I loved the combination of having both tomato and vodka sauce since there was a nice sweet and tangy/more acidic contrast that was very nicely tied together by the creamy and salty mozzarella. The pesto was super subtle and was the perfect complement without being overpowering. The crust was sooo crispy and the slices were so thin! It was delicious... I will definitely be ordering this whenever I come back in the future. Lumanche Alla Vodka: my stepdad loves vodka pasta so we had to order this dish. Both my parents were blown away by this dish and really loved the sauce. I personally thought it was good but not any better than at other places in Little Italy. The pasta was not as Al dente as I would have liked and I felt like the sauce lacked some punch. However my family was very happy which is what mattered to me more since this is the dish they were most excited to have. They both said they liked this better than the pizza (possible pasta bias here). Tiramisu: their desserts have never disappointed and this was the best one I've tried on their menu so far! The slice of tiramisu is generous, the mascarpone blend is mildly sweet but not overpowering, perfectly creamy, and it's sandwiched between perfectly moist lady fingers that were not soggy at all. The flavor of the coffee was perfect! Loved this dessert and would order again in a heartbeat.Overall, I had a good experience here! The food was still fantastic and if you are able to get a reservation the week before, I think it's well worth it. Prices are steeper than other places you can find in the city but the ingredients they use are very high quality and the ambiance is very nice-- it's also just a NYC classic that everyone should try at least once. Service was a little disappointing this time around but I've had good experiences before so it could have been just a random blip. I will definitely be coming back in the future for more delicious pizza!"
Lily M.,"New York, NY",5 star rating,"Oct 17, 2023","We did not have a reservation but wanted to check Rubirosa out because we had heard great things. We arrived around 6:45 on a Sunday night and were told the wait for two was 2.5 hours. We decided to check out other bars in the area while we were waiting,and our wait only ended up being 1 hour! We got an arugula salad to start. It was very dark so hard to take pictures without either the flash or them turning up blurry. For pizza you can do split halves, so one side we did the tie dye which has a pesto drizzle. That was one was delicious, it's a great staple that I would encourage everyone to try! For the other half we got the san gennaro which had sausage. It was on the back of the menu and seemed like a special or limited time so we weee glad we could get it in the half potion. Service was very quick and the food came out fast. There is only one bathroom in the whole restaurant so that can take a while if there was a line. Rubirosa is definitely the place to go and if you can't get a reservation try your luck with a walk in!"
Ryan P.,"New York, NY",5 star rating,"Oct 16, 2023","We came in with a group of 8 on a Friday night with no reservation. Not exactly the easiest scenario to get a table at a restaurant on nearly every list of top spots in NYC, but alas we were seated about an hour after putting our name down!That's the move here. Come early, put your name down, and grab a drink at one of the many great bars nearby. Once seated, buckle in for a wonderful experience. Ask your waiter for their favorite pizza variation. They all have their own perspectives and it's great to get an experts thoughts.We got the tye die pie which did not disappoint, but what I was most impressed by were the pastas. No one talks about how great they are here -- get them!"
Celine C.,"Los Angeles, CA",3 star rating,"Oct 10, 2023","Rubirosa has great reviews everywhere and it was so difficult to book a table during weekends that we decided to eat here on a random weekday. The restaurant is super crowded and loud. Service was great. The staff was efficient and the guy working the bar was extremely friendly. He let me sample the alcoholic slushie before I ordered it. Thank god because it was not very good lol.As for food, I thought they were just okay. My expectations were probably too high for what reality has to offer.- Half tie dye and half Bianca (3/5): Meh, super underwhelming and bland. Tie dye pizza was oily from the pesto sauce. Bianca was dry and flavorless even with the cheese and bits of garlic. Just seemed like overall seasoning was missing.- Mushroom Campanelle (4/5): Pretty delicious pasta dish with lots of mushroom, sofrito, and garlic cream. Individual portion was a bit small."
Summer O.,"Salt Lake City, UT",5 star rating,"Oct 17, 2023","Make sure you have a reservation, or stop-in to get your name on the list and check out Little Italy and/or the local church. We ordered the house red wine (which is their own label), a salad to share as a starter, meatballs and calamari as a first course, and a Rubirosa Surprene pizza as a second course. We enjoyed everything. People choose Rubirosa because of their name and legacy in NYC pizza. They did not disappoint. The restaurant is very narrow, but long. The tables are packed in. It's everything I think of when I think NY Italian restaurant. I think family, togetherness, closeness. It was hopping, and I liked it like that."
Nicole K.,"Bellerose, NY",4 star rating,"Oct 17, 2023","Rubirosa is a fantastic, classic NY establishment. The inside is small- a reservation is required. The reservation window opens on resy a week before. Once inside the ambiance is cozy and intimate. The menu includes appetizers, salads, pasta dishes and pizza. There's a nice drink menu too.We had the arugula salad which was nicely dressed and flavorful. Homemade mozzarella sticks are a great treat. They are fried to perfection. For our main lunch we had the infamous Tie Dye pie. A delicious vodka sauced based pie with a swirl of pesto! Definitely make your way here when in the area."
Darian B.,"New York, NY",5 star rating,"Oct 11, 2023","LOVED this restaurant! Went for drinks and apps and left with a whole pie to take home. It was busy, but we got lucky walking in to get a table without a wait.We ordered a few things to share, but the mushroom pasta takes the cake - it was recommended by our serve (Alicia) and she nailed it! It was different and amazing and I would definitely order it again.Alicia was such a great serve - I would request to have her if/when I go back. The pizza takeout was delish and heated up perfectly in the oven. SO good! We got a dessert platter to share - the small is massive! She tried to warn us, and while it was huge it was also delish. I am not a cannoli girl and these were GREAT."
Kelley S.,"San Francisco, CA",4 star rating,"Oct 2, 2023","I really liked this place! I saw some of their pizzas on Instagram and had to try. I really liked the vibe of the restaurant, we sat outdoors and we happened to be there when there was this festival so it was really cool to see all that around while we were eating. Their selection of pizzas and pastas are diverse but not overwhelming. The shrimp papparadelle we got was really good. And the half honey pig half tie dye pizza was really good. The hot honey on the honey pig worked so well with the saltiness of the meat. I would definitely come back, the only thing was the lack of service, but also with the hectic street fair and it being a weekend I understand the lack of service."
Kritika P.,"West Loop, Chicago, IL",5 star rating,"Sep 10, 2023","Amazing food and amazing service! The Rendang Nasi Lamek is a must try! We also tried the BBQ Char Siu Buns, Uncle Plumps dumplings and the Roti Canai . The roti canai blew us away! Definitely going back here again!"
Adhrit S.,"New York, NY",5 star rating,"Oct 22, 2023","I loveee this place. The vibe is so warm, and casual, and homey. Walk in, plop down, and get some delicious food.I've been in the past and it was delicious. Went again w my boys and it was delicious as always. Everything on the Malaysian menu is such an amazing blend of East Asian and Indian flavor and textures. We absolutely love it.This time we even chatted with the owner, Peter, for a while and learned about the genesis of the restaurant and about his story as well. If you've been to LoveMama, you already know how warm and friendly Peter is. Definitely a staple spot for me !!!!!"
Iryna H.,"Brooklyn, NY",1 star rating,"Oct 25, 2023","Be aware, I ordered beef Pho. The broth was looking much darker and cloudier than it should have been, The taste was slightly off too. A few min after finishing eating it I started getting an indigestion and some stomach discomfort. What a shame. Never ordering again from here."
Nicolas L.,"New York, NY",4 star rating,"Oct 20, 2023","The place is very casual but it's got a good amount of seating. It was very pretty empty when we went but the atmosphere was relatively pleasant and allowed for easy conversation. The service was a not great. Our server seemed very disinterested in serving us and like he wanted to go home. However he was still easy to get attention of and was very quick with our order. The food was quite good. It's not my favorite food in the world but if you love south East Asian curries and dishes, it's a great option. I would definitely consider going here next time I'm in the mood for some Thai, Malay, or Vietnamese food. Definitely worth checking out!"
Suchi O.,"South Brunswick Township, NJ",4 star rating,"Oct 15, 2023","Did a takeout for dinner from this place.Food was tasty, service was quick. Portion size is decent and price is good. I have eaten not-so-good food for $5 to $7 more than they charge for an entree dish here. We ordered the vegetarian clay-pot curry and veg pad thai. Nothing exceptional about the food, but not bad. Dont go to this place for ambience, it's a mom and pop shop for some hot tasty food. Definitely don't mind swinging by again some day."
Athena C.,"Walnut Creek, CA",4 star rating,"Oct 7, 2023","Wow I cannot believe I was here again after an almost a decade away and the owner remembered me from my East Village days when his place was a dumpling joint. The last memory I had was coming here during the landing of the infamous hurricane Sandy and he was the only one who opened his place in the area! Years later, he is still hustling and selling affordable Asian food to the neighborhood. It was so good to see his place thrive and me and my friends had a great time trying out different dishes. We didn't even really order the food and they just came upon his recommendations! New York always makes me smile knowing the small business owners keep her strong and thriving. Don't miss out this friendly and delicious Asian eatery."
Kelly Z.,"Queens, NY",5 star rating,"Aug 8, 2023","I've been wanting to come here since there's not many Malaysian restaurants left in NYC. Do yourself a favor and come here if you're craving Southeast Asian food! They offer Vietnamese, Malaysian and Thai cuisines.We ordered the shrimp curry lakesa in spicy, which is the recommended way because it is full flavor, pungent and rich! We also got the Uncle Plump's dumplings and this was surprisingly really yummy and different! It is made with pork and tofu skin. We also found out the owners are both from Malaysia and started this amazing establishment about 10 years ago! They were both really sweet! Come support this local small business, it will not disappoint!"
Angela J.,"Philadelphia, PA",5 star rating,"Oct 23, 2023",This was a cozy little spot with really friendly staff. I ordered the shrimp curry lakesa and it was so flavorful. The noodles were perfectly cooked and chewy. The soup was really delicious and had a nice heat. I'd definitely come again if I'm in the area. I want to try the beef randang next time!
Mei H.,"Queens, NY",4 star rating,"Aug 6, 2023","Came here on a Saturday evening for dinner because my friend and I were looking for Thai food but we ended up ordering Malaysian food on the menu because it was recommended by the place. Staff/owner is so friendly and he came over to us and asked if food is good. We ordered two Thai tea asked for less ice/sugar, but usually drinks are prefix  so they added more milk for us which helped a little but still a bit too sweet for me. For food, we ordered curry laksa noodle, soup base was pretty good. Ordered their signature uncles dumplings, it's pork dumplings with a mix sauce of peanut butter and soy sauce I believe. It's a little bit too sweet as well. Overall, great experience here and will come back!"
Mickie K.,"Staten Island, NY",5 star rating,"Sep 13, 2023","This time I ordered uncle plump's dumpling, vegetable pad see ew, and malay spring rolls, the spring rolls was very crunchy and delicious. The dumplings were unique, never had dumplings with pork and tofu skin mixed inside it, taste really good. Very fast service, took about 20-25 mins to reach my location which isn't bad at all, everything was still hot by the time it goes to me. The driver was really nice too and I was just starving, needed a quick bite."
Kritika P.,"West Loop, Chicago, IL",5 star rating,"Sep 10, 2023","Amazing food and amazing service! The Rendang Nasi Lamek is a must try! We also tried the BBQ Char Siu Buns, Uncle Plumps dumplings and the Roti Canai . The roti canai blew us away! Definitely going back here again!"
